English word,French word,Frequency
makes,fait du,356
black,noir,173
quiet,silencieux,77
benefit,avantage,39
enemies,ennemis,111
reign,règne,48
consent,consentement,94
hands,mains,319
farther,plus loin,43
clouds,des nuages,59
flatter,flatter,54
grief,douleur,217
disgrace,disgrâce,49
trouble,difficulté,77
curse,malédiction,100
enjoy,prendre plaisir,54
almost,presque,161
wealth,richesse,72
scorn,mépris,108
kings,rois,117
sought,recherché,37
drown,noyer,88
precious,précieux,78
grieve,pleurer,40
account,Compte,46
while,tandis que,247
friend,ami,446
appear,apparaître,150
lovers,les amoureux,61
bones,des os,76
grown,grandi,61
birth,naissance,87
brought,apporté,196
march,Mars,133
better,mieux,595
glorious,glorieux,41
morning,Matin,132
sovereign,souverain,154
early,de bonne heure,50
shine,éclat,45
stain,tache,67
didst,didst,183
promise,promettre,108
forth,en avant,372
rotten,pourri,38
enough,assez,313
beaten,battu,50
storm,orage,59
speak,parler,1206
wound,blessure,73
repent,se repentir,59
sorrow,chagrin,193
bears,ours,107
offence,infraction,96
cross,traverser,101
tears,larmes,284
ransom,une rançon,59
deeds,actes,118
silver,argent,69
fault,faute,170
bring,apporter,449
sense,sens,125
lawful,légitime,61
civil,civil,51
needs,Besoins,147
thief,voleur,68
confess,avouer,146
loves,aime,198
remain,rester,66
spite,dépit,59
steal,voler,84
delight,délice,56
kindness,la gentillesse,52
report,rapport,148
dearest,très cher,56
comfort,confort,188
whether,qu'il s'agisse,97
argument,argument,67
excellent,excellent,119
absence,absence,55
leisure,loisir,63
entertain,divertir,55
blame,faire des reproches,83
taste,goût,80
known,connu,188
pretty,jolie,117
liberty,liberté,73
forbear,ancêtre,58
dearly,chèrement,42
because,car,187
found,a trouvé,229
sleep,sommeil,264
dreams,rêves,46
clear,clair,66
heavy,lourd,169
flesh,la chair,138
matter,matière,357
large,grand,72
water,eau,149
attend,assister,119
present,présent,246
motion,mouvement,81
until,jusqu'à,76
health,santé,103
straight,tout droit,153
picture,image,43
title,Titre,91
feast,le banquet,101
thrust,poussée,54
whence,d'où,75
prize,prix,47
greet,saluer,43
desert,désert,44
guard,garde,129
teach,enseigner,104
beast,la bête,73
weight,poids,44
wretch,misérable,59
speed,la vitesse,240
anger,colère,60
sharp,tranchant,71
horse,cheval,243
fiery,ardent,49
solemn,solennel,41
captain,capitaine,177
special,spécial,38
instant,instant,61
blest,heureux,54
strange,étrange,252
cheek,joue,79
breath,souffle,230
virtue,vertu,195
stone,calcul,67
sword,épée,355
quick,rapide,111
judgment,jugement,104
force,Obliger,107
morrow,demain,326
former,ancien,63
spirit,esprit,265
shore,rive,57
slave,esclave,132
watch,regarder,207
servant,serviteur,429
jealous,jaloux,50
affairs,affaires,68
crave,demander,42
bound,lié,178
suffer,souffrir,107
patience,la patience,190
pardon,pardon,310
doing,Faire,75
brains,cerveaux,45
wonder,merveille,121
worse,pire,161
flourish,fleurir,137
awake,éveillé,78
remedy,remède,59
indeed,En effet,438
contrary,contraire,47
knife,couteau,55
advantage,avantage,72
kingdom,Royaume,102
taught,enseigné,50
fears,peurs,77
power,Puissance,307
action,action,116
flower,fleur,50
gates,portes,101
steel,acier,70
fearful,craintif,90
beggar,mendiant,77
faith,Foi,408
authority,autorité,55
doctor,docteur,113
simple,Facile,117
blush,rougir,56
bastard,Connard,208
durst,durst,51
voice,voix,158
commend,saluer,90
seeing,voyant,53
guess,devine,53
measure,mesure,95
smell,odeur,51
weeds,mauvaises herbes,44
common,commun,154
slander,calomnie,53
suspect,suspect,38
flies,mouches,58
remember,rappelles toi,191
perhaps,peut-être,45
devise,concevoir,50
carry,porter,89
coward,lâche,86
ground,sol,165
peace,paix,539
aside,de côté,466
proceed,procéder,72
always,toujours,63
already,déjà,148
commit,commettre,40
brain,cerveau,95
profit,profit,39
learned,appris,50
double,double,90
thank,remercier,294
faint,perdre connaissance,46
knowing,connaissance,47
humble,humble,72
yield,rendement,143
blessing,bénédiction,47
gross,brut,56
silence,silence,112
equal,égal,45
story,récit,67
something,quelque chose,183
struck,frappé,76
giving,donnant,60
familiar,familier,37
ghost,fantôme,86
farewell,adieu,353
comes,vient,617
dream,rêver,133
vantage,avantage,40
humour,humour,90
finds,trouve,42
revolt,révolte,42
lords,seigneurs,466
sport,sport,123
finger,doigt,66
queen,reine,979
betray,trahir,57
burden,fardeau,48
fruit,fruit,37
cheer,acclamation,81
forward,vers l'avant,90
despair,désespoir,54
third,troisième,244
colour,Couleur,90
office,Bureau,128
appears,apparaît,50
figure,figure,41
ladies,Dames,145
crown,couronne,302
drops,gouttes,53
prayers,prières,85
divine,Divin,49
affections,affections,40
proof,preuve,82
guilty,coupable,71
patient,patient,90
drink,boisson,157
bitter,amer,74
assure,assurer,50
throw,jeter,106
besides,outre,109
partly,partiellement,35
catch,capture,76
creature,créature,72
plague,peste,94
begin,commencer,113
reason,raison,288
afterwards,ensuite,38
minds,esprits,56
marriage,mariage,119
unknown,inconnue,44
taken,pris,94
accuse,accuser,38
sickness,maladie,54
policy,politique,45
goodness,la bonté,56
poison,poison,95
drunk,ivre,70
wounded,blessés,40
maintain,maintenir,53
beyond,au-delà,60
rather,plutôt,322
heard,entendu,349
falls,des chutes,81
fools,imbéciles,104
render,rendre,46
sooner,plus tôt,62
sound,du son,218
swear,jurer,265
become,devenir,142
herself,se,98
prison,prison,92
whole,entier,121
several,nombreuses,79
credit,crédit,51
habit,habitude,39
manner,manière,81
madness,la démence,68
foolish,insensé,97
deserve,mériter,65
denied,refusé,55
broke,cassé,87
dispatch,envoi,92
follow,suivre,336
angel,ange,55
saint,Saint,129
devil,diable,239
fiend,démon,67
doubt,doute,173
mercy,pitié,182
saying,en disant,56
charge,charge,202
terms,termes,75
dying,en train de mourir,48
desperate,désespéré,50
except,sauf,38
discourse,discours,60
sworn,juré,133
mistake,erreur,40
revenge,vengeance,155
worship,culte,104
commanded,commandé,40
conscience,conscience,122
treason,trahison,92
oaths,serments,69
honest,honnête,289
cupid,Cupidon,58
asleep,endormi,60
endure,supporter,76
trial,procès,60
touch,toucher,164
withal,avec,142
chaste,chaste,39
dramatis,dramatis,36
france,France,528
parolles,parolles,175
french,français,225
steward,intendant,47
countess,comtesse,121
clown,pitre,350
daughter,fille,438
neighbour,voisine,58
mariana,Mariana,48
scene,scène,799
paris,Paris,138
palace,palais,160
enter,entrer,2357
command,commander,173
passage,passage,35
spoke,parlait,148
season,saison,47
enemy,ennemi,167
understand,comprendre,98
speech,discours,128
bless,bénir,119
exeunt,sortir,1035
undone,défait,55
ambition,ambition,47
itself,lui-même,240
brows,sourcils,45
trick,tour,53
fancy,fantaisie,57
soldier,soldat,272
valiant,vaillant,156
warlike,guerrier,58
marry,marier,366
companion,un compagnon,37
hangs,bloque,37
stomach,estomac,44
anything,n'importe quoi,105
court,tribunal,265
safety,sécurité,74
valour,valeur,101
business,Entreprise,232
serve,servir,187
counsel,Conseil,135
advice,Conseil,43
ourselves,nous-mêmes,115
native,originaire de,43
pains,des douleurs,91
fought,combattu,66
cousin,cousin,272
myself,moi même,567
contempt,mépris,47
royal,Royal,213
quoth,quoth,66
knave,fripon,174
sirrah,sirrah,148
fellow,compagnon,325
ladyship,Madame,44
heads,têtes,110
mouth,bouche,145
stood,se tenait,93
sentence,phrase,39
forsooth,en vérité,48
demand,demande,60
knight,Chevalier,136
deliver,livrer,141
yourself,toi même,280
choice,choix,70
messenger,Messager,300
brother,frère,645
noble,noble,616
sister,sœur,204
affection,affection,76
encounter,rencontre,53
search,chercher,50
intent,intention,50
danger,danger,101
success,Succès,48
attended,assisté,45
bought,acheté,51
dance,Danse,72
kneel,s'agenouiller,72
laugh,rire,113
wings,ailes,55
traitor,traitre,134
uncle,oncle,211
spare,de rechange,61
practice,entraine toi,41
estate,biens,49
modest,modeste,38
peril,péril,43
minister,ministre,38
proclaim,proclamer,61
courage,courage,67
happiness,bonheur,57
hazard,danger,41
infinite,infini,38
match,rencontre,99
chair,chaise,40
constable,gendarme,87
warrant,mandat,176
tedious,fastidieux,45
banish,bannir,127
protest,manifestation,53
afraid,peur,41
fourth,Quatrième,51
liege,Liege,141
highness,altesse,189
mighty,puissant,110
unworthy,indigne,36
justice,Justice,239
smile,sourire,77
scarce,rare,73
window,la fenêtre,50
lordship,seigneurie,124
commission,commission,48
awhile,quelque temps,102
cares,se soucie,36
priest,prêtre,72
tread,bande de roulement,43
strike,la grève,154
chamber,chambre,126
noise,bruit,110
merry,joyeux,170
whither,où,88
everything,tout,42
tailor,tailleur,51
order,ordre,94
dinner,dîner,95
between,entre,241
displeasure,mécontentement,41
clothes,vêtements,40
entreat,supplier,111
flight,vol,53
quarrel,querelle,98
council,conseil,51
along,le long de,112
country,pays,183
knock,frappe,83
yonder,là-bas,74
dreadful,horrible,59
violent,violent,41
heels,talons,73
embrace,embrasse,68
wrath,colère,57
approach,approche,77
labour,la main d'oeuvre,95
misery,misère,39
tarry,goudronneux,45
conduct,conduite,48
hostess,hôtesse,112
surely,sûrement,40
gallant,galant,55
rascal,coquin,61
battle,bataille,117
courtesy,courtoisie,65
offer,offre,108
malice,malice,72
fetch,chercher,124
undertake,entreprendre,45
suddenly,tout à coup,50
bottom,bas,106
disposition,disposition,44
dishonour,déshonorer,50
parted,séparé,47
purse,bourse,88
meaning,sens,60
ignorant,ignorant,48
possible,possible,58
swore,juré,51
opinion,opinion,84
proper,correct,65
company,entreprise,206
street,rue,83
hereafter,"ci-après, par la suite",48
wench,jeune fille,62
dagger,dague,44
condition,état,59
innocent,innocent,52
behalf,nom,45
rogue,coquin,81
villain,scélérat,253
drums,tambours,41
throne,trône,67
prince,prince,772
unhappy,malheureux,39
belike,être comme,42
henceforth,désormais,40
close,proche,105
natural,Naturel,58
deadly,mortel,51
wives,épouses,62
ancient,ancien,79
utter,prononcer,43
enobarbus,énobarbus,154
dolabella,Dolabella,39
pompey,pompey,211
lieutenant,lieutenant,78
soothsayer,devin,43
egypt,Egypte,49
train,train,85
people,gens,220
speaks,parle,128
names,des noms,49
witch,sorcière,94
loose,ample,50
mirth,gaieté,52
sudden,soudain,79
occasion,occasion,74
piece,pièce,90
victory,la victoire,47
sweat,transpiration,39
abroad,à l'étranger,64
gaunt,décharné,72
doors,des portes,62
murder,meurtre,76
stroke,accident vasculaire cérébral,40
supper,souper,62
custom,Douane,45
ready,prêt,143
throat,gorge,51
trumpet,trompette,90
capitol,Capitole,43
blows,coups,71
marcus,Marcus,138
shortly,prochainement,46
emperor,empereur,112
round,rond,75
athens,Athènes,72
dread,crainte,49
defend,défendre,66
raise,élever,47
meeting,réunion,53
garden,jardin,47
whore,putain,48
maids,servantes,44
staff,Personnel,41
empty,vide,51
satisfied,satisfait,48
challenge,défi,48
armour,armure,41
fairy,Fée,58
chain,chaîne,67
hateful,odieux,39
monster,monstre,83
tower,la tour,81
bodies,corps,44
study,étude,65
obedience,obéissance,52
stuff,des trucs,64
visit,visite,55
merchant,marchande,67
avoid,éviter,38
oliver,oliver,57
orlando,orlando,164
shepherd,berger,126
phebe,phebe,47
forest,forêt,71
reverence,révérence,44
lands,terres,54
brook,ruisseau,84
device,dispositif,43
weeping,larmes,60
judge,juge,92
niece,nièce,64
church,église,66
seven,Sept,72
slender,mince,111
knees,les genoux,51
hollow,creux,49
vengeance,vengeance,52
claim,prétendre,64
flood,inonder,47
according,selon,45
degree,diplôme,47
prologue,prologue,40
syracuse,Syracuse,238
porter,porter,45
pound,livre,54
damned,damné,45
execution,exécution,48
fatal,fatal,44
marcius,Marcius,143
cominius,cominius,104
tribunes,tribunes,67
citizen,citoyenne,186
weapons,armes,42
senate,sénat,42
rivers,rivières,58
senator,sénateur,91
hector,Hector,222
ulysses,Ulysse,114
tonight,ce soir,49
regard,qui concerne,43
mischief,sottises,42
charity,charité,55
cloten,cailloter,110
posthumus,posthume,129
forces,les forces,44
castle,Château,107
murther,aller plus loin,59
tempest,tempête,44
realm,domaine,53
valentine,Valentin,233
claudio,Claudio,180
thomas,Thomas,75
percy,Percy,87
edmund,Edmund,72
poins,poins,103
pistol,pistolet,187
elbow,coude,59
clarence,clarté,211
mowbray,mowbray,66
surrey,Surrey,50
gower,gower,53
bishop,évêque,48
oxford,Oxford,56
bedford,Bedford,49
exeter,Exeter,98
talbot,talbot,172
suffolk,suffolk,259
philip,Philippe,71
protector,protecteur,56
cardinal,cardinal,164
somerset,somerset,147
reignier,règne,49
margaret,margaret,210
cromwell,Cromwell,44
clifford,Clifford,139
wolsey,Wolsey,101
ferdinand,Ferdinand,53
hubert,Hubert,96
milan,Milan,41
cinna,cinna,40
maria,maria,115
venice,venise,86
duncan,Duncan,40
salerio,salerio,48
lorenzo,Lorenzo,81
padua,Padoue,41
fenton,Fenton,46
pandarus,Pandarus,188
oberon,Oberon,45
pedro,pedro,155
claud,claud,125
emilia,Émilie,149
lucentio,Lucentio,131
miranda,Miranda,65
ariel,Ariel,93
bassianus,bassianus,45
polixenes,polixènes,84
viola,alto,142
launce,lancer,82
julia,Julia,153
leontes,leontes,150
paulina,paulina,86
